PRIORITY,TYPE,SUBTYPE,RISK_ASSESSMENT,VALUES,UNITS,STUDY_TYPE,EXPOSURE_ROUTE,SPECIES,SOURCE,DETAILS
6,LC50,-,mortality:acute,1.81,mg/L,renewal,-,nile tilapia,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.8,mg/L,static,-,nile tilapia,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.4,mg/L,static,-,rainbow trout,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,497.3,ppm,"environmental, unspecified",-,coffee borer beetle,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,2.1,mg/L,aquatic - not reported,-,japanese eel,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1330,mg/L,"environmental, unspecified",-,oblique banded leaf roller,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.8,mg/L,static,-,nile tilapia,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,3,mg/L,static,-,rainbow trout,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.94,mg/L,static,-,bluegill,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,13.2,mg/L,dipped or soaked,-,western predatory mite,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.56,mg/L,static,-,bluegill,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,466.9,mg/L,renewal,-,tree frog,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.138,mg/L,static,-,northern house mosquito,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.1,mg/L,static,-,nile tilapia,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,16.1,ppm,spray,-,oriental fruit moth,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.67,mg/L,static,-,bluegill,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.72,mg/L,static,-,scud,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.049,mg/L,static,-,water flea,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,15,mg/L,"environmental, unspecified",-,eulophid wasp,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.05,mg/L,static,-,opossum shrimp,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,34,mg/L,aquatic - not reported,-,toad,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.41,mg/L,static,-,mud crab,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.45,mg/L,static,-,channel catfish,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.6,mg/L,static,-,bluegill,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.7,mg/L,static,-,rainbow trout,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,2.1,mg/L,static,-,rainbow trout,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,3.6,mg/L,dipped or soaked,-,root-knot nematode,ECOTOX,ECOTOX Details
-1,LC50,-,mortality:acute,0.23,ug/eu,"environmental, unspecified",-,parasitoid wasp,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,18,mg/L,static,-,european physa,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.62,mg/L,static,-,bluegill,ECOTOX,ECOTOX Details
-1,LC50,-,mortality:acute,0.29,ug/eu,"environmental, unspecified",-,black-spotted lady beetle,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,2,mg/L,static,-,fathead minnow,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,4.1,mg/L,static,-,nile tilapia,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,3.9,mg/L,static,-,rainbow trout,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,2.4,mg/L,static,-,bluegill,ECOTOX,ECOTOX Details
6,LC50,-,mortality:chronic,4.6552,mg/L,dipped or soaked,-,green lacewing,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0001472,g/m2,"environmental, unspecified",-,chalcid wasp,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,259,mg/L,"environmental, unspecified",-,common cutworm,ECOTOX,ECOTOX Details
