PRIORITY,TYPE,SUBTYPE,RISK_ASSESSMENT,VALUES,UNITS,STUDY_TYPE,EXPOSURE_ROUTE,SPECIES,SOURCE,DETAILS
6,LC50,-,mortality:acute,0.015,mg/L,"environmental, unspecified",-,parasitic wasp,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,4.84,ppm,"environmental, unspecified",-,beet armyworm,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.001,mg/L,"environmental, unspecified",-,red scale parasite,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0013,mg/L,static,-,mosquito,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,18.3,mg/L,"environmental, unspecified",-,ladybird beetle,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,20,ppm,"environmental, unspecified",-,root weevil,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0023,mg/L,static,-,mayfly,ECOTOX,ECOTOX Details
-1,LC50,-,mortality:acute,0.17,ug/eu,"environmental, unspecified",-,corn earworm,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,26.5,mg/L,"environmental, unspecified",-,tomato leaf miner,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0,mg/L,leaching ,-,midge,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,16.7,ppm,oral,-,italian honeybee,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0001,mg/L,static,-,daggerblade grass shrimp,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,589,ppm,"environmental, unspecified",-,rust-red flour beetle,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0,mg/L,renewal,-,scud,ECOTOX,ECOTOX Details
-1,LC50,-,mortality:acute,0.13,ug/eu,"environmental, unspecified",-,corn earworm,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,6.57,mg/L,"environmental, unspecified",-,rough bollworm,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,32.6,mg/L,"environmental, unspecified",-,common cutworm,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,44.73,mg/L,"environmental, unspecified",-,common cutworm,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0001,mg/L,static,-,water flea,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,30.21,mg/L,"environmental, unspecified",-,common cutworm,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,830,mg/L,"environmental, unspecified",-,western corn rootworm,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0001,mg/L,static,-,water flea,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,16.6,mg/L,"environmental, unspecified",-,old world bollworm,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,38.4,mg/L,"environmental, unspecified",-,old world bollworm,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,207.7,mg/L,"environmental, unspecified",-,european red mite,ECOTOX,ECOTOX Details
