PRIORITY,TYPE,SUBTYPE,RISK_ASSESSMENT,VALUES,UNITS,STUDY_TYPE,EXPOSURE_ROUTE,SPECIES,SOURCE,DETAILS
6,LC50,-,mortality:acute,0.0002,mg/L,static,-,water flea,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0001,mg/L,static,-,scud,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0029,mg/L,static,-,crimson-spotted rainbowfish,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0024,mg/L,static,-,crimson-spotted rainbowfish,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.96,mg/L,renewal,-,zebra danio,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0002,mg/L,lentic ,-,northern redbelly dace,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0281,mg/L,static,-,crimson-spotted rainbowfish,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0002,mg/L,static,-,water flea,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0009,mg/L,lentic ,-,fathead minnow,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0003,mg/L,static,-,fathead minnow,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,19.65,mg/L,spray,-,european corn borer,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0002,mg/L,static,-,mummichog,ECOTOX,ECOTOX Details
-1,LC50,-,mortality:acute,1.51,ug/eu,"environmental, unspecified",-,corn earworm,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,43,mg/L,immersion,-,budworm,ECOTOX,ECOTOX Details
-1,LC50,-,mortality:acute,2.3,ug/eu,"environmental, unspecified",-,corn earworm,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0054,mg/L,renewal,-,zebra danio,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.48,mg/L,"environmental, unspecified",-,diamondback moth,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0145,mg/L,renewal,-,zebra danio,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0001,mg/L,lentic ,-,crayfish,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.14,mg/L,dipped or soaked,-,russian wheat aphid,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0,mg/L,static,-,water flea,ECOTOX,ECOTOX Details
-1,LC50,-,mortality:acute,0.85,ug/eu,"environmental, unspecified",-,sevenspotted lady beetle,ECOTOX,ECOTOX Details
-1,LC50,-,mortality:acute,0.07,ug/eu,"environmental, unspecified",-,convergent lady beetle,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0004,mg/L,static,-,water flea,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.028,mg/L,aquatic - not reported,-,bog frog,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0001,mg/L,static,-,scud,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.35,ppm,oral,-,oriental fruit moth,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0004,mg/L,static,-,bluegill,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.01,mg/L,renewal,-,zebra danio,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.303,mg/L,"environmental, unspecified",-,braconid wasp,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0001,mg/L,flow-through,-,rainbow trout,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,9.13,mg/L,spray,-,european corn borer,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,10,ppm,"environmental, unspecified",-,cabbage looper,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0002,mg/L,lentic ,-,bluegill,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,2.99,mg/L,"environmental, unspecified",-,rough bollworm,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0002,mg/L,static,-,fathead minnow,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0002,mg/L,static,-,fathead minnow,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0001,mg/L,static,-,water flea,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0,mg/L,static,-,spread winged damselfly,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0005,mg/L,static,-,bluegill,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0004,mg/L,static,-,bluegill,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0062,mg/L,static,-,crimson-spotted rainbowfish,ECOTOX,ECOTOX Details
